,CustomerID,genero,esEstudiante,casado,tieneHijos,numeroCursosInscritos,antiguidad,haUsadoElServicioBasico,usaServicioBasicoRegularmente,tipoDeUsuario,usaServicioPlataRegularmente,usaServicioOroRegularmente,haPagadoContenidoIndividual,haContactoASoporte,usaTabletParaAcceder,usaMovilParaAcceder,tipoDeContrato,pagoDigital,metodoDePago,cargosMensuales,cargosAccumulados,usuarioPerdido
0,7590-VHVEG,Feminino,0,Sí,No,1,1,No,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,Sí,Transferencia Bancaria,29.85,29.85,0
1,5575-GNVDE,Masculino,0,No,No,4,34,Sí,No,Plata,Sí,No tiene acceso,Sí,No,No,No,Trimestral,No,Pago en tienda,56.95,1889.5,0
2,3668-QPYBK,Masculino,0,No,No,1,2,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,Sí,Pago en tienda,53.85,108.15,1
3,7795-CFOCW,Masculino,0,No,No,6,45,No,No,Plata,Sí,No tiene acceso,Sí,Sí,No,No,Trimestral,No,Transferencia Bancaria (Domiciliado),42.3,1840.75,0
4,9237-HQITU,Feminino,0,No,No,1,2,Sí,No,Oro,No,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria,70.7,151.65,1
5,9305-CDSKC,Feminino,0,No,No,2,8,Sí,Sí,Oro,No,No,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,99.65,820.5,1
6,1452-KIOVK,Masculino,0,No,Sí,6,22,Sí,Sí,Oro,No,Sí,No,No,Sí,No,Mensual,Sí,Tarjeta de credito (Domeciliado,89.1,1949.4,0
7,6713-OKOMC,Feminino,0,No,No,3,10,No,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,No,Pago en tienda,29.75,301.9,0
8,7892-POOKP,Feminino,0,Sí,No,2,28,Sí,Sí,Oro,No,No,Sí,Sí,Sí,Sí,Mensual,Sí,Transferencia Bancaria,104.8,3046.05,1
9,6388-TABGU,Masculino,0,No,Sí,10,62,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Trimestral,No,Transferencia Bancaria (Domiciliado),56.15,3487.95,0
10,9763-GRSKD,Masculino,0,Sí,Sí,4,13,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,Sí,Pago en tienda,49.95,587.45,0
11,7469-LKBCI,Masculino,0,No,No,4,16,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Tarjeta de credito (Domeciliado,18.95,326.8,0
12,8091-TTVAX,Masculino,0,Sí,No,9,58,Sí,Sí,Oro,No,No,Sí,No,Sí,Sí,Trimestral,No,Tarjeta de credito (Domeciliado,100.35,5681.1,0
13,0280-XJGEX,Masculino,0,No,No,7,49,Sí,Sí,Oro,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria (Domiciliado),103.7,5036.3,1
14,5129-JLPIS,Masculino,0,No,No,6,25,Sí,No,Oro,Sí,No,Sí,Sí,Sí,Sí,Mensual,Sí,Transferencia Bancaria,105.5,2686.05,0
15,3655-SNQYZ,Feminino,0,Sí,Sí,8,69,Sí,Sí,Oro,Sí,Sí,Sí,Sí,Sí,Sí,Anual,No,Tarjeta de credito (Domeciliado,113.25,7895.15,0
16,8191-XWSZG,Feminino,0,No,No,8,52,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Trimestral,No,Pago en tienda,20.65,1022.95,0
17,9959-WOFKT,Masculino,0,No,Sí,8,71,Sí,Sí,Oro,Sí,No,Sí,No,Sí,Sí,Anual,No,Transferencia Bancaria (Domiciliado),106.7,7382.25,0
18,4190-MFLUW,Feminino,0,Sí,Sí,3,10,Sí,No,Plata,No,No tiene acceso,Sí,Sí,No,No,Mensual,No,Tarjeta de credito (Domeciliado,55.2,528.35,1
19,4183-MYFRB,Feminino,0,No,No,6,21,Sí,No,Oro,No,Sí,Sí,No,No,Sí,Mensual,Sí,Transferencia Bancaria,90.05,1862.9,0
20,8779-QRDMV,Masculino,1,No,No,1,1,No,No,Plata,No,No tiene acceso,Sí,No,No,Sí,Mensual,Sí,Transferencia Bancaria,39.65,39.65,1
21,1680-VDCWW,Masculino,0,Sí,No,3,12,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Trimestral,No,Transferencia Bancaria (Domiciliado),19.8,202.25,0
22,1066-JKSGK,Masculino,0,No,No,1,1,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,20.15,20.15,1
23,3638-WEABW,Feminino,0,Sí,No,9,58,Sí,Sí,Plata,No,No tiene acceso,No,Sí,No,No,Anual,Sí,Tarjeta de credito (Domeciliado,59.9,3505.1,0
24,6322-HRPFA,Masculino,0,Sí,Sí,7,49,Sí,No,Plata,Sí,No tiene acceso,No,Sí,No,No,Mensual,No,Tarjeta de credito (Domeciliado,59.6,2970.3,0
